"","size","persistence","delta_log_consumption","log_consumption","size_dmnd","persistence_dmnd","year_quarter","inflation","expected_inflation"
"1",40.663114074645,0.783446481562921,NA,9.62085935438703,7.94796461036503,0.0570638987991993,1968 Q1,8.52901638473913,3.15
"2",28.6506233580403,0.682689522915071,0.0128515295661558,9.63371088395318,-4.06452610623969,-0.0436930598486505,1968 Q2,9.38819405481484,3.15
"3",35.1561309927912,0.806390084252092,0.0158516929292993,9.64956257688248,2.44098152851122,0.0800075014883703,1968 Q3,10.1064583138155,3.15
"4",32.2406693612215,0.81838807714369,0.00180307860041751,9.6513656554829,-0.47448010305844,0.0920054943799681,1968 Q4,10.7352234959781,3.35
"5",29.9867390524295,0.773469993788801,0.00896694665152609,9.66033260213442,-2.72841041185042,0.0470874110250796,1969 Q1,11.5205639723508,4.1
"6",39.6912935307884,0.787319233989546,0.00413604992920291,9.66446865206363,6.97614406650848,0.060936651225824,1969 Q2,11.6996698699266,4.21666666666667
"7",37.0997720805043,0.798123240476667,0.00202994233623777,9.66649859439987,4.38462261622433,0.0717406577129451,1969 Q3,12.0594267230873,3.63333333333333
"8",39.3673533495029,0.788637125383381,0.00505690078897381,9.67155549518884,6.65220388522296,0.0622545426196595,1969 Q4,12.3604747785312,3.4875
"9",39.3673533495029,0.788637125383381,0.00371314816629642,9.67526864335514,6.65220388522296,0.0622545426196595,1970 Q1,13.0209727893284,3.95
"10",32.564609542507,0.817101759407471,0.0014437716327329,9.67671241498787,-0.150539921772918,0.0907191766437497,1970 Q2,13.3810886184015,3.825
"11",29.7180273455381,0.706133424001043,0.0053176640057071,9.68203007899358,-2.9971221187419,-0.0202491587626785,1970 Q3,13.5225037025397,3.68333333333333
"12",30.9449086360795,0.823369343068016,-0.00619623324954333,9.67583384574403,-1.77024082820051,0.0969867603042941,1970 Q4,14.0927072940817,4.05
"13",29.4504898376848,0.706159035495305,0.0159445331035499,9.69177837884758,-3.26465962659514,-0.0202235472684164,1971 Q1,13.91732707545,3.95
"14",25.2800046198013,0.683709011143392,0.0062827431794954,9.69806112202708,-7.43514484447864,-0.0426735716203301,1971 Q2,13.9848052668534,4.56666666666667
"15",27.6875894328291,0.682073323174034,0.00483906490820374,9.70290018693528,-5.02756003145082,-0.0443092595896873,1971 Q3,13.5481374568862,4.125
"16",28.4098648767375,0.682471741969732,0.0133537644458723,9.71625395138115,-4.30528458754247,-0.0439108407939895,1971 Q4,13.1592137843448,3.36666666666667
"17",27.6875894328291,0.682073323174034,0.0107350576638083,9.72698900904496,-5.02756003145082,-0.0443092595896873,1972 Q1,12.863611245802,3.03333333333333
"18",24.557729175893,0.685099018565652,0.0165058321802753,9.74349484122524,-8.15742028838699,-0.0412835641980694,1972 Q2,12.4033888367801,3.3
"19",20.1135935063277,0.675438798027385,0.0127100591614528,9.75620490038669,-12.6015559579523,-0.0509437847363363,1972 Q3,12.0869371261916,3.48333333333333
"20",22.7222685986047,0.658821817742839,0.0205282438039394,9.77673314419063,-9.99288086567529,-0.0675607650208828,1972 Q4,11.5263827457133,4.03333333333333
"21",22.9396581896278,0.65791218082899,0.0159345732402549,9.79266771743088,-9.77549127465221,-0.0684704019347321,1973 Q1,11.2234919046578,3.93333333333333
"22",24.7984876571958,0.684591302638688,-0.00268486569157744,9.78998285173931,-7.91666180708421,-0.0417912801250334,1973 Q2,11.5127800892901,4.51666666666667
"23",23.1570477806508,0.657088827185697,0.00106362145107219,9.79104647319038,-9.55810168362913,-0.0692937555780248,1973 Q3,11.7637978479425,6.11666666666667
"24",27.6875894328291,0.682073323174034,-0.00544196131096797,9.78560451187941,-5.02756003145082,-0.0443092595896873,1973 Q4,11.6782392302215,5.9
"25",27.6875894328291,0.682073323174034,-0.011030459436622,9.77457405244279,-5.02756003145082,-0.0443092595896873,1974 Q1,12.4855510763275,6.38333333333333
"26",29.9867390524295,0.773469993788801,0.00142097957806264,9.77599503202085,-2.72841041185042,0.0470874110250796,1974 Q2,14.0055329531964,7.03333333333333
"27",31.268848817365,0.822150548514906,0.00175921504951226,9.77775424707036,-1.446300646915,0.0957679657511844,1974 Q3,16.0529247421759,8.05
"28",30.9449086360795,0.823369343068016,-0.0172713889512401,9.76048285811912,-1.77024082820051,0.0969867603042941,1974 Q4,17.5689255400777,8.15
"29",31.268848817365,0.822150548514906,0.00632549550175021,9.76680835362087,-1.446300646915,0.0957679657511844,1975 Q1,18.4828383715737,6.51666666666667
"30",24.557729175893,0.685099018565652,0.0138899028226334,9.78069825644351,-8.15742028838699,-0.0412835641980694,1975 Q2,19.2133456920292,6.05
"31",27.4468309515264,0.682028636183066,0.0111871195113178,9.79188537595483,-5.2683185127536,-0.0443539465806559,1975 Q3,19.8843510693685,7.28333333333333
"32",25.2800046198013,0.683709011143392,0.00807331575244596,9.79995869170727,-7.43514484447864,-0.0426735716203301,1975 Q4,21.0258542986576,5.23333333333333
"33",25.7615215824069,0.683009043818041,0.0176441216716867,9.81760281337896,-6.95362788187308,-0.0433735389456806,1976 Q1,21.4826184791299,5.68333333333333
"34",17.4473679147709,0.626451913904118,0.00705795861119896,9.82466077199016,-15.2677815495091,-0.0999306688596041,1976 Q2,21.3552306921065,5.85
"35",18.4296957628895,0.611278104941727,0.00792136703019608,9.83258213902035,-14.2854537013904,-0.115104477821995,1976 Q3,21.6683875810578,5.8
"36",18.4296957628895,0.611278104941727,0.0101995383983802,9.84278167741873,-14.2854537013904,-0.115104477821995,1976 Q4,21.731253187716,5.48333333333333
"37",18.4296957628895,0.611278104941727,0.00941258072984397,9.85219425814858,-14.2854537013904,-0.115104477821995,1977 Q1,21.4734421290523,5.51666666666667
"38",22.7222685986047,0.658821817742839,0.00299550897979906,9.85518976712838,-9.99288086567529,-0.0675607650208828,1977 Q2,20.3473304492654,6.18333333333333
"39",22.7222685986047,0.658821817742839,0.00658998200796113,9.86177974913634,-9.99288086567529,-0.0675607650208828,1977 Q3,19.1400948993241,6.35
"40",19.2440351422354,0.682613605449596,0.0121245008581159,9.87390424999445,-13.4711143220446,-0.0437689773141252,1977 Q4,18.4418094429206,6.28333333333333
"41",22.0700998255354,0.662047101035995,0.00323932720207232,9.87714357719653,-10.6450496387445,-0.0643354817277264,1978 Q1,18.1590101670162,6.1
"42",22.0700998255354,0.662047101035995,0.0186141772776605,9.89575775447419,-10.6450496387445,-0.0643354817277264,1978 Q2,18.5499039080619,7.01666666666667
"43",23.3744373716739,0.656353333433544,0.00125890693163022,9.89701666140582,-9.34071209260605,-0.0700292493301774,1978 Q3,18.7464212375375,7.38333333333333
"44",23.1570477806508,0.657088827185697,0.00511997905935502,9.90213664046517,-9.55810168362913,-0.0692937555780248,1978 Q4,18.6392387568304,7.36666666666667
"45",24.557729175893,0.685099018565652,0.00265006780257693,9.90478670826775,-8.15742028838699,-0.0412835641980694,1979 Q1,18.8116407430571,7.475
"46",23.3744373716739,0.656353333433544,-0.00325105945686488,9.90153564881088,-9.34071209260605,-0.0700292493301774,1979 Q2,19.8876829360858,8.125
"47",26.2430385450124,0.682495181721977,0.00664089321137595,9.90817654202226,-6.47211091926751,-0.0438874010417447,1979 Q3,20.0220673818901,10.0333333333333
"48",22.9396581896278,0.65791218082899,-0.00059737158287731,9.90757917043938,-9.77549127465221,-0.0684704019347321,1979 Q4,20.6182684748146,9.475
"49",22.9396581896278,0.65791218082899,-0.00424162915437876,9.903337541285,-9.77549127465221,-0.0684704019347321,1980 Q1,21.6466269565059,9.6
"50",25.2800046198013,0.683709011143392,-0.025578137321606,9.8777594039634,-7.43514484447864,-0.0426735716203301,1980 Q2,22.0260752211122,10.1
"51",23.5946952506818,0.68754992205226,0.0079205299227656,9.88567993388616,-9.12045421359812,-0.0388326607114619,1980 Q3,22.8577748165314,10.5166666666667
"52",22.0700998255354,0.662047101035995,0.0106822937073758,9.89636222759354,-10.6450496387445,-0.0643354817277264,1980 Q4,23.5473159110184,9.8
"53",22.0700998255354,0.662047101035995,0.00130843962102389,9.89767066721456,-10.6450496387445,-0.0643354817277264,1981 Q1,24.1704844121785,8.725
"54",24.0762122132874,0.686242809781156,-0.00216488442009144,9.89550578279447,-8.63893725099255,-0.040139772982566,1981 Q2,24.203577767333,8.25
"55",24.7984876571958,0.684591302638688,0.0018630887334794,9.89736887152795,-7.91666180708421,-0.0417912801250334,1981 Q3,24.4301026576319,7.95
"56",22.7222685986047,0.658821817742839,-0.00945191398277956,9.88791695754517,-9.99288086567529,-0.0675607650208828,1981 Q4,24.3205796972857,7.1
"57",22.7222685986047,0.658821817742839,0.00521718291146556,9.89313414045664,-9.99288086567529,-0.0675607650208828,1982 Q1,24.3425659945863,6.25
"58",22.0700998255354,0.662047101035995,0.00080799923595975,9.8939421396926,-10.6450496387445,-0.0643354817277264,1982 Q2,23.437443373609,5.575
"59",22.9396581896278,0.65791218082899,0.00413078014203272,9.89807291983463,-9.77549127465221,-0.0684704019347321,1982 Q3,23.0712781229253,5.075
"60",24.7984876571958,0.684591302638688,0.0149193197157445,9.91299223955037,-7.91666180708421,-0.0417912801250334,1982 Q4,22.3093606946676,4.425
"61",24.7984876571958,0.684591302638688,0.00779481006381566,9.92078704961419,-7.91666180708421,-0.0417912801250334,1983 Q1,20.8157573408478,3.725
"62",35.1561309927912,0.806390084252092,0.0181159081428941,9.93890295775708,2.44098152851122,0.0800075014883703,1983 Q2,19.751873192054,3.15
"63",35.1561309927912,0.806390084252092,0.0153252364822283,9.95422819423931,2.44098152851122,0.0800075014883703,1983 Q3,18.9829667110569,3.88333333333333
"64",35.1561309927912,0.806390084252092,0.0134540703388133,9.96768226457812,2.44098152851122,0.0800075014883703,1983 Q4,17.2646379134853,4.65
"65",35.1561309927912,0.806390084252092,0.0063569439089477,9.97403920848707,2.44098152851122,0.0800075014883703,1984 Q1,16.45799620051,4.3
"66",26.724555507618,0.682168884808386,0.0118574802897733,9.98589668877685,-5.99059395666195,-0.0442136979553361,1984 Q2,15.5737224046043,4.65
"67",24.7984876571958,0.684591302638688,0.00496050989618979,9.99085719867304,-7.91666180708421,-0.0417912801250334,1984 Q3,14.5631338389545,4.48333333333333
"68",24.7984876571958,0.684591302638688,0.0104374138660042,10.001294612539,-7.91666180708421,-0.0417912801250334,1984 Q4,13.8490533167893,4.15
