horizon,fitted,quarter,standard_error,ci_lower,ci_upper
0,4.1264477829252595,1988 Q3,0.1501943894638783,3.832072188896076,4.420823376954443
0,5.296646115211666,1988 Q4,0.12766716782360912,5.046423064269161,5.5468691661541705
0,5.641527325085126,1989 Q1,0.14263030532065854,5.3619770635526836,5.921077586617568
0,6.036839116575281,1989 Q2,0.19058206440036357,5.663305134251275,6.410373098899286
0,6.252134897137248,1989 Q3,0.1509955378419177,5.956189081140835,6.548080713133661
0,5.291729460221343,1989 Q4,0.16772842188092246,4.962987794150995,5.620471126291691
0,4.523032988653343,1990 Q1,0.1702705135808942,4.189308914405652,4.856757062901034
0,3.745351484284989,1990 Q2,0.13279525606810424,3.4850775650737305,4.005625403496247
0,4.400756934931983,1990 Q3,0.21148211339422857,3.986259609304879,4.815254260559087
0,3.8659456229868274,1990 Q4,0.18435278525765678,3.5046208034321737,4.2272704425414815
0,3.8459595208365767,1991 Q1,0.16718517394293725,3.5182826011593553,4.173636440513798
0,3.154843522717346,1991 Q2,0.18295383832248607,2.796260588771909,3.5134264566627826
0,2.266618759852305,1991 Q3,0.16839215602383498,1.9365761987665389,2.596661320938071
0,1.767494728051404,1991 Q4,0.1702140059831197,1.4338814066602041,2.1011080494426038
0,1.1362952481088886,1992 Q1,0.14365795180683172,0.8547308364747077,1.4178596597430695
0,0.6396728973004491,1992 Q2,0.1359705666366316,0.37317548373514775,0.9061703108657504
0,0.3235459241610649,1992 Q3,0.13450017156479183,0.05993043197961473,0.5871614163425152
0,0.27475652608802476,1992 Q4,0.13351337525948417,0.013075119125054713,0.5364379330509947
0,0.42557121405732057,1993 Q1,0.12419724144881124,0.1821490938384254,0.6689933342762158
0,0.44616446506807944,1993 Q2,0.12522536302137463,0.20072726359523133,0.6916016665409276
0,0.7178919810913397,1993 Q3,0.13397060181365084,0.45531442654942766,0.9804695356332517
0,1.183127409549528,1993 Q4,0.11786070930003156,0.9521246641291213,1.414130154969935
0,1.129646763519692,1994 Q1,0.13123826687546578,0.8724244870503233,1.3868690399890609
0,1.524846133246808,1994 Q2,0.130178466372508,1.2697010275940337,1.7799912388995822
0,2.1353392222243177,1994 Q3,0.11331640334442095,1.9132431528116385,2.357435291636997
0,3.041643400680832,1994 Q4,0.11849391795046703,2.8093995891108725,3.273887212250792
0,3.3956968545258275,1995 Q1,0.11156232207738348,3.177038721222498,3.6143549878291568
0,3.673756877722205,1995 Q2,0.09313620507983246,3.491213270108997,3.8563004853354133
0,3.5102908987076717,1995 Q3,0.08594143420779043,3.341848782880684,3.6787330145346595
0,3.094209468805679,1995 Q4,0.08093103164187346,2.9355875615559355,3.2528313760554224
0,2.9377088105730125,1996 Q1,0.08501269468408472,2.7710869907635067,3.104330630382518
0,2.6273777288508158,1996 Q2,0.07354594034785689,2.483230334559885,2.7715251231417466
0,2.7584676345565957,1996 Q3,0.07859115224094386,2.6044318066608416,2.91250346245235
0,2.7862161358128605,1996 Q4,0.07721992488637729,2.6348678641466727,2.9375644074790483
0,2.4826086658447255,1997 Q1,0.08742455551180818,2.311259685677159,2.6539576460122922
0,3.1224175028516448,1997 Q2,0.13636982352030963,2.855137560173755,3.3896974455295346
0,2.6332709271294474,1997 Q3,0.13099860068954927,2.376518387752787,2.8900234665061078
0,2.485271772115593,1997 Q4,0.13369620590178533,2.223232023678442,2.7473115205527434
0,2.5403679501252756,1998 Q1,0.10092814368693936,2.342552423472391,2.7381834767781603
0,2.3552720551004778,1998 Q2,0.08519935166602682,2.1882843943289028,2.5222597158720528
0,2.1988170177685427,1998 Q3,0.0874181606611747,2.0274805712779043,2.370153464259181
0,1.7893270302803954,1998 Q4,0.09036063218927977,1.6122234455691364,1.9664306149916544
0,1.420718688019325,1999 Q1,0.0986833073861998,1.227302959667078,1.614134416371572
0,1.4069799970983659,1999 Q2,0.10677718825335798,1.197700553751331,1.6162594404454007
0,1.3970133434805012,1999 Q3,0.11048532571224384,1.1804660842643262,1.6135606026966762
0,1.668212723249082,1999 Q4,0.09385352127961902,1.4842632017187651,1.8521622447793988
0,1.7918021712445351,2000 Q1,0.09517695518250285,1.6052587669286467,1.9783455755604236
0,2.634928949694165,2000 Q2,0.10289703753228457,2.433254462015021,2.836603437373309
0,2.748997026054149,2000 Q3,0.09924336292037891,2.554483609025569,2.9435104430827295
0,2.7548612622256443,2000 Q4,0.09668300478221017,2.5653660549353985,2.94435646951589
0,2.15840216826794,2001 Q1,0.1293909216905747,1.9048006218279714,2.412003714707909
0,0.2362226760678649,2001 Q2,0.15549408980330748,-0.06854013975545453,0.5409854918911843
0,-0.8873356853247996,2001 Q3,0.1397155101992776,-1.1611730533970221,-0.613498317252577
0,-1.1319210430151707,2001 Q4,0.14601289027152647,-1.4181010492259614,-0.8457410368043801
0,-2.43149398214696,2002 Q1,0.16743856419879194,-2.7596675375996895,-2.1033204266942302
0,-1.9176848887893678,2002 Q2,0.14550397813205576,-2.202867445535501,-1.632502332043235
0,-1.879000223318682,2002 Q3,0.14886636636110553,-2.1707729398957936,-1.5872275067415702
0,-1.283540535325363,2002 Q4,0.10804802567958637,-1.4953107742580112,-1.071770296392715
0,-1.3492917762257703,2003 Q1,0.10036340694873096,-1.54600043921102,-1.1525831132405207
0,-1.4868853021610386,2003 Q2,0.10040189127430076,-1.6836693930383744,-1.290101211283703
0,-1.4065871831113301,2003 Q3,0.1159697769662794,-1.6338837692603805,-1.1792905969622798
0,-2.026098890209969,2003 Q4,0.12962216027632975,-2.280153655949854,-1.7720441244700842
