horizon,fitted,quarter,standard_error,ci_lower,ci_upper
0,1.726534645267496,1969 Q1,0.1875081090124646,1.359025504793855,2.0940437857411367
0,1.7620633197054318,1969 Q2,0.25984536176974643,1.2527757690869479,2.271350870323916
0,3.1735688807026836,1969 Q3,0.23947269095894283,2.704211031142265,3.642926730263102
0,3.5277662321605914,1969 Q4,0.25719933305103826,3.023664802532834,4.031867661788349
0,3.8792891033589063,1970 Q1,0.2720775555036934,3.3460268935699697,4.412551313147842
0,3.825819653243626,1970 Q2,0.18854169209260774,3.4562847271578745,4.195354579329377
0,3.3789065431221954,1970 Q3,0.1674819357462932,3.0506479809984093,3.7071651052459815
0,2.0804488806157315,1970 Q4,0.18814886829130487,1.7116838750328038,2.449213886198659
0,1.4748784232917573,1971 Q1,0.17300168880984101,1.1358013439598629,1.8139555026236518
0,0.008685757561518544,1971 Q2,0.22811415701493526,-0.43840977455146934,0.4557812896745065
0,1.1173450087053187,1971 Q3,0.23106544341322904,0.6644650615436121,1.5702249558670254
0,1.4174918898145739,1971 Q4,0.2529710204723057,0.92167780055651,1.9133059790726377
0,0.40889583120134393,1972 Q1,0.2549982367087321,-0.09089152886899043,0.9086831912716783
0,-0.43043562302811306,1972 Q2,0.2593443108238103,-0.9387411318381425,0.07786988578191639
0,1.1493328124955613,1972 Q3,0.24987665878093465,0.6595835607077252,1.6390820642833974
0,1.5402714154295045,1972 Q4,0.18772761643814045,1.1723320483072,1.908210782551809
0,2.035592636194762,1973 Q1,0.16765524296375317,1.7069943981664937,2.3641908742230306
0,3.3001639150541107,1973 Q2,0.16056841462565172,2.985455605333139,3.614872224775082
0,5.025670653230055,1973 Q3,0.2607375015050225,4.514634540861253,5.536706765598857
0,7.216397366420654,1973 Q4,0.2711029556618736,6.685045337221023,7.747749395620286
0,5.602261139426916,1974 Q1,0.2899880267545386,5.033895051040183,6.1706272278136485
0,6.657988122709805,1974 Q2,0.33525880197307406,6.0008929453425335,7.315083300077076
0,7.448114522399886,1974 Q3,0.34549606325447896,6.7709546816207355,8.125274363179038
0,7.162715255852798,1974 Q4,0.3278899704230291,6.520062722931757,7.805367788773839
0,3.362913134596029,1975 Q1,0.4525720213766159,2.4758882722873703,4.249937996904687
0,3.165148420353869,1975 Q2,0.3728192926494248,2.434436034019298,3.89586080668844
0,3.701798791303433,1975 Q3,0.42488421193498027,2.8690410383111886,4.534556544295677
0,1.8144718235871038,1975 Q4,0.45595793239492033,0.9208106976277114,2.708132949546496
0,1.6100172184768813,1976 Q1,0.4148681024120384,0.7968906794148114,2.423143757538951
0,3.2532862202135235,1976 Q2,0.40274347437888836,2.4639235154223726,4.042648925004674
0,2.276442374506965,1976 Q3,0.33310694294128473,1.623564763341808,2.9293199856721217
0,2.719278445163717,1976 Q4,0.25814531387455186,2.2133229271918076,3.2252339631356266
0,2.8251878009835716,1977 Q1,0.24470145843063104,2.3455817554951097,3.3047938464720334
0,2.7126850259375117,1977 Q2,0.1841464079591647,2.351764698455129,3.0736053534198944
0,2.6762381728233926,1977 Q3,0.18105423736236473,2.3213783883447916,3.0310979573019936
0,3.5740695178067594,1977 Q4,0.2330401413671096,3.1173192337751017,4.030819801838417
0,5.040155414376841,1978 Q1,0.2046265784832077,4.639094690270095,5.441216138483586
0,5.017439991985671,1978 Q2,0.23493826606114146,4.556969451915545,5.477910532055797
0,4.823948260079382,1978 Q3,0.23040359262495208,4.3723655166258375,5.275531003532926
0,5.912614818360352,1978 Q4,0.22306039162410243,5.475424484399712,6.349805152320993
0,6.799759774904716,1979 Q1,0.1908374880621545,6.425725171402801,7.173794378406631
0,7.811720895963573,1979 Q2,0.18772200155072613,7.443792533818377,8.179649258108768
0,6.99237781804857,1979 Q3,0.3123403128144823,6.38020205401221,7.604553582084929
0,8.79328208409972,1979 Q4,0.3487235920082267,8.109796403204157,9.476767764995284
0,12.518683892833009,1980 Q1,0.400242529570938,11.734222949792763,13.303144835873255
0,11.193204030170307,1980 Q2,0.40322745422180795,10.40289274231779,11.983515318022823
0,9.243588893773522,1980 Q3,0.3748140445633608,8.508966865529544,9.9782109220175
0,9.29982770658434,1980 Q4,0.41111761332255525,8.494051991062067,10.105603422106613
0,13.540495580176959,1981 Q1,0.48597926694756405,12.587993719726557,14.492997440627361
0,12.017994153600199,1981 Q2,0.4889240561647407,11.059720612342069,12.976267694858329
0,13.465030976037434,1981 Q3,0.47774772849182967,12.528662634497628,14.40139931757724
0,12.161586414566107,1981 Q4,0.3303488846870817,11.514114498246451,12.809058330885764
0,9.770678313396761,1982 Q1,0.3172502226256152,9.148879302963241,10.392477323830281
0,11.240392237731612,1982 Q2,0.3477520298596977,10.558810783655908,11.921973691807317
0,9.823028856903912,1982 Q3,0.3661471522120336,9.105393625526421,10.540664088281403
0,5.662984416789369,1982 Q4,0.3392599326580547,4.998047167382098,6.32792166619664
0,5.98348884452813,1983 Q1,0.33418432064834175,5.328499611859395,6.638478077196864
0,5.761823561026949,1983 Q2,0.34008954537262986,5.095260300577994,6.428386821475904
0,5.221273576583548,1983 Q3,0.2962257572648936,4.640681761051253,5.801865392115843
0,6.135442783238752,1983 Q4,0.31170840023224944,5.524505545104947,6.746380021372557
0,6.673545627986657,1984 Q1,0.31111371131469573,6.063773958713262,7.283317297260052
0,6.639864054452765,1984 Q2,0.2828225622256313,6.08554201847519,7.194186090430341
0,7.784632082052111,1984 Q3,0.2564601728071669,7.281979379881146,8.287284784223077
0,7.602093815525759,1984 Q4,0.23147705175833153,7.148407130831915,8.055780500219603
