horizon,quarter,ffr_hat,standard_error,ci_lower,ci_upper,model
0,1988 Q3,7.5060858968927695,0.13088353766056737,7.2465389301129175,7.765632863672621,Short
0,1988 Q4,8.771256338827436,0.1016605507364806,8.569659651753993,8.97285302590088,Short
0,1989 Q1,9.149262276790965,0.12975970928338634,8.891943903856392,9.406580649725539,Short
0,1989 Q2,9.43570683356845,0.12054628824926245,9.19665902029184,9.674754646845063,Short
0,1989 Q3,9.559508380222809,0.1595547065756218,9.24310540955625,9.875911350889366,Short
0,1989 Q4,8.566262970553163,0.16036709274524935,8.248249007626237,8.884276933480088,Short
0,1990 Q1,8.033637226380963,0.11467903457626592,7.806224397315303,8.261050055446622,Short
0,1990 Q2,7.221068555293589,0.1517426372173415,6.920157211323994,7.521979899263183,Short
0,1990 Q3,7.767610586127223,0.17966969471785027,7.411318839129851,8.123902333124594,Short
0,1990 Q4,6.788570363249657,0.18467926925822875,6.422344441946997,7.154796284552317,Short
0,1991 Q1,6.534791216768537,0.1963676816413361,6.145386735085157,6.924195698451916,Short
0,1991 Q2,5.926927555544096,0.17721421571675056,5.5755051155513975,6.278349995536795,Short
0,1991 Q3,5.077720380409344,0.13335818108720252,4.81326610284981,5.342174657968879,Short
0,1991 Q4,4.445804948524704,0.1565437173426605,4.135372882498947,4.756237014550461,Short
0,1992 Q1,3.8580322501034288,0.13107694346771248,3.598101752350169,4.117962747856689,Short
0,1992 Q2,3.3498460410488993,0.13267342922504946,3.0867496521283435,3.612942429969455,Short
0,1992 Q3,2.898081975293895,0.13694749086530136,2.626509961750215,3.1696539888375748,Short
0,1992 Q4,2.877496960227275,0.1203997725616811,2.6387396930573557,3.116254227397194,Short
0,1993 Q1,2.8632164021940403,0.11292709898092744,2.639277727157919,3.0871550772301615,Short
0,1993 Q2,2.8569078559158796,0.1191229747345394,2.6206825267509153,3.093133185080844,Short
0,1993 Q3,2.9584536186577797,0.1189730159439816,2.7225256634019175,3.194381573913642,Short
0,1993 Q4,3.477740985138168,0.1297888999397296,3.220364726036643,3.735117244239693,Short
0,1994 Q1,3.358450187074152,0.15297076385914735,3.0551034218865825,3.6617969522617217,Short
0,1994 Q2,3.916108151178018,0.12519136884752197,3.6678489687615166,4.1643673335945195,Short
0,1994 Q3,4.389824982228148,0.06865955776808402,4.25367050262226,4.525979461834035,Short
0,1994 Q4,5.317084497981272,0.08262449084635773,5.153237032026334,5.480931963936211,Short
0,1995 Q1,5.588222614700598,0.0900895849365512,5.409571587026074,5.7668736423751215,Short
0,1995 Q2,5.816543605730225,0.08644394881377687,5.645122011295067,5.987965200165384,Short
0,1995 Q3,5.687225609424492,0.10377945556197968,5.481427054567035,5.8930241642819485,Short
0,1995 Q4,5.329308474524439,0.07862952866471314,5.173383168492585,5.4852337805562925,Short
0,1996 Q1,5.167921024016723,0.0915379183923687,4.986397896748451,5.349444151284994,Short
0,1996 Q2,5.094319058829356,0.0731169576025328,4.949325388081213,5.239312729577498,Short
0,1996 Q3,5.238336990147365,0.06493447785086408,5.109569483806476,5.367104496488256,Short
0,1996 Q4,5.404525288542761,0.08213434366412854,5.241649802843683,5.567400774241838,Short
0,1997 Q1,5.010314839220385,0.0935096557555607,4.824881682768534,5.195747995672237,Short
0,1997 Q2,5.930157828091125,0.11495899800953176,5.702189821031256,6.158125835150994,Short
0,1997 Q3,5.402932248773817,0.12503793003239563,5.154977341285731,5.650887156261904,Short
0,1997 Q4,5.266271831556573,0.10401606416828468,5.060004072953725,5.47253959015942,Short
0,1998 Q1,5.382651454465176,0.0931671449293321,5.197897509834963,5.567405399095389,Short
0,1998 Q2,5.277372562318888,0.0903251302347748,5.098254439478799,5.456490685158975,Short
0,1998 Q3,5.312829782480063,0.08633770552888889,5.1416188724657745,5.484040692494351,Short
0,1998 Q4,5.079974747703505,0.07548802479698168,4.930279161730957,5.229670333676054,Short
0,1999 Q1,4.685910813580435,0.08090315483674572,4.525476821528245,4.846344805632625,Short
0,1999 Q2,4.722717889110046,0.09954566997754435,4.525315089945611,4.920120688274481,Short
0,1999 Q3,4.793301083009231,0.09929632431315268,4.5963927456543505,4.990209420364111,Short
0,1999 Q4,5.254869384594542,0.08215061934275132,5.091961623613987,5.417777145575098,Short
0,2000 Q1,5.285790392197075,0.0933841852117161,5.100606048542136,5.470974735852015,Short
0,2000 Q2,6.238833658352765,0.08547733295092412,6.0693288994473384,6.408338417258191,Short
0,2000 Q3,6.232079543757939,0.09666866653535452,6.04038195038319,6.423777137132689,Short
0,2000 Q4,6.253836374854244,0.11588462590877008,6.024032812934625,6.483639936773864,Short
0,2001 Q1,5.5515118851928005,0.1921462794424471,5.170478602484199,5.9325451679014005,Short
0,2001 Q2,3.607208853991525,0.1403719095605872,3.328846089668701,3.885571618314349,Short
0,2001 Q3,2.1897752808284903,0.11763960056752486,1.9564915383025325,2.4230590233544484,Short
0,2001 Q4,1.9859279708608395,0.198770043387882,1.5917595156818711,2.380096426039808,Short
0,2002 Q1,0.6493356713680702,0.2081839059690372,0.23649917342151028,1.0621721693146302,Short
0,2002 Q2,1.1919751882204819,0.14642755158978302,0.9016038585068107,1.4823465179341535,Short
0,2002 Q3,1.099735328580288,0.16704046945817638,0.7684878092032656,1.4309828479573103,Short
0,2002 Q4,1.4379142196111871,0.1297853452873214,1.180545009518781,1.6952834297035932,Short
0,2003 Q1,1.2322494790384098,0.0990322403569445,1.0358648300788327,1.4286341279979868,Short
0,2003 Q2,1.0667192533421714,0.099344513597942,0.8697153548271797,1.2637231518571632,Short
