estimate,std_error,t_stat,p_value
-0.16788231002934606,0.18189427364836128,-0.9229664390309329,0.35724666305997566
-0.4345053530330833,0.30309322146998435,-1.4335700116477623,0.15341071442711302
-0.6213582829426951,0.33129980423994626,-1.8755166015512401,0.06232310407810311
-0.5797257047370327,0.3549951113663569,-1.6330526426285137,0.10418673346404017
-0.5407159441978308,0.45624365806811107,-1.185147310293372,0.23750438172562788
-0.4268325885031769,0.5380819499559564,-0.7932482933837762,0.42866609253768373
-0.10897967230152523,0.5322437115238328,-0.20475520883001613,0.8379921892603217
-0.0022823701269776243,0.6402265241204967,-0.0035649415339562853,0.9971594986967032
-0.0741273402945204,0.6775808632723119,-0.10939999092732564,0.913005769831638
-0.25768376080048155,0.6406067249899148,-0.4022495405500751,0.6879750108665585
-0.4952639906075454,0.727264170978919,-0.6809959989379175,0.49674914234309
-0.4978484063176832,0.7848803898287848,-0.6342984393154283,0.5266958713720167
-0.34524154797109696,0.8329956110726363,-0.4144578235250657,0.6790378838748036
-0.17293114580052663,0.898177597214253,-0.19253558131140439,0.8475434282199237
0.021268955651751232,0.9035082157050812,0.023540412009594544,0.9812458713107313
0.35963474284181973,0.857018812297531,0.41963459574206574,0.6752671134270741
0.7025900971007832,0.8157053759183408,0.8613282661154346,0.39024266392775975
1.014424934216897,0.8532696747855006,1.1888679091658898,0.2361209630225669
1.1209603645197943,0.766657595460362,1.4621395146377971,0.14552768880476122
0.9421128447404244,0.7652310281548188,1.2311482546808328,0.21995801306383084
0.6405076976264369,0.7050635643168711,0.9084396500434939,0.3649320194094453
