estimate,std_error,t_stat,p_value,quarter
0.08872754674060887,0.0460141166463423,1.9282679579085626,0.05654863463047983,0
0.14398408400003038,0.08397263120563904,1.714654905208703,0.08938698208509264,1
0.1580261838771934,0.1556676335779847,1.0151511926082382,0.3123896411395282,2
0.06040081690016682,0.20969116806502655,0.28804654701258636,0.7738843622917564,3
0.0020716029429634275,0.2437069404411408,0.0085003855007722,0.9932340397508967,4
-0.04496618509098634,0.2736902583162692,-0.1642958918874804,0.869817105656756,5
-0.12245902944834419,0.30152339546562695,-0.4061344203796759,0.685478287580262,6
-0.054963005969428685,0.3184583691893257,-0.17259086677277055,0.8633084633277832,7
-0.012865985972309063,0.3203912648481761,-0.04015710596356574,0.9680448636743957,8
0.04159258290044127,0.29682671825189855,0.14012412071727387,0.8888355732776434,9
0.21695357786183195,0.3082061926451536,0.7039234870650918,0.483084336599624,10
0.26425388150531776,0.3578022514231442,0.7385472854188548,0.4618946999587614,11
0.2632053847124531,0.4026949101320849,0.6536099118464673,0.514863290395871,12
0.14030447058597773,0.4299183046425531,0.32635146973476986,0.7448473469204546,13
-0.025103020674726792,0.4290902790685043,-0.058502888318099355,0.9534671886596146,14
-0.2566293753726585,0.3829435876423684,-0.6701492952333362,0.5043549412888937,15
-0.5000390990953526,0.31450584853629665,-1.5899198740580618,0.11514083750077023,16
-0.5974543570040312,0.27923450283231926,-2.1396150939227,0.03494844563177268,17
-0.7275746472374844,0.26288586962788696,-2.767644560992803,0.006800434964092098,18
-0.8031669722802292,0.285816344723977,-2.8100806238211327,0.006038451447746698,19
-0.8121541190744453,0.2548300053059103,-3.187042742864978,0.001963975432194546,20
