estimate,std_error,t_stat,p_value
0.7157895095950517,0.2848774498518028,2.5126225679407597,0.01285276498038918
1.3689734888933824,0.4993535762926208,2.741491307736555,0.006726455862059739
1.5543657798763382,0.5714598457371544,2.719991249553649,0.007161117969534829
1.8255284180816755,0.5365817214782145,3.4021442494399112,8.220379738343619e-4
2.2160284534698653,0.5572719596236883,3.976565508457116,1.0077294990154568e-4
3.0013046161900143,0.813003427535845,3.691626030761953,2.9432757455231674e-4
3.4659862231066,1.1138331887133504,3.1117641835671552,0.0021598130889753553
3.1150158924101787,1.1192297440652517,2.783178260699058,0.005951149839988966
2.5876489356882924,1.0819045152280644,2.3917535228539264,0.017786948873560714
2.1205999793603656,1.1575413781945625,1.831986328357352,0.06859696499411747
1.612196818468384,1.1506965831256215,1.4010616196401624,0.16291734398135685
1.1071669613074329,1.0840589366747284,1.0213162069431267,0.30848298542291636
0.506984453337289,1.1153679930863,0.45454455971470736,0.649990754552384
-0.23081199596065743,0.902650818578712,-0.25570463263312315,0.7984758309829069
-0.9875563579049456,0.7820390261298106,-1.2627967721664841,0.20833272476713557
-1.610319670764259,0.6904395648064258,-2.3323108246494164,0.020822370105753638
-2.4717392487641368,0.68326965724274,-3.6175164849827666,3.895443942991453e-4
-3.0343456610218844,0.6878389128174445,-4.411419017561767,1.800906038113212e-5
-3.2587838034763226,0.5798556212378857,-5.619991742978045,7.567346235648746e-8
-3.713887751752399,0.6105213701884337,-6.083141283991632,7.494202613645938e-9
-3.719665198136058,0.5705046361735384,-6.519956127060455,7.707058602831647e-10
