estimate,std_error,t_stat,p_value,quarter
0.16957449924705037,0.1863242556902619,0.910104262157603,0.3648720040988017,0
0.3283721075512711,0.36021346625133616,0.9116041967241503,0.36408531992867776,1
-0.19125176001817826,0.5304771129433205,-0.36052782552112256,0.7191836689793534,2
-0.8731486031146031,0.652945761567174,-1.337245226952553,0.1840600464325777,3
-1.600345949153502,0.7488900988316411,-2.1369570136529172,0.034946013575074715,4
-2.122301277460101,0.9217592192402367,-2.3024464883675533,0.023301666625635646,5
-2.223569376544381,1.0941752879887128,-2.032187530602792,0.0446836924320968,6
-1.9689985061730642,1.2346982914894415,-1.5947203618446912,0.11380937024831436,7
-1.7413478803697517,1.121796486756947,-1.5522850186524424,0.12363194553400801,8
-1.7165990582617892,1.0451698002699938,-1.64241165198071,0.10355440365761218,9
-2.090599614729186,1.1933700817226285,-1.7518451708722307,0.08280596482612303,10
-2.0828849013812487,1.3303194449053835,-1.5657028162355322,0.12054610770372376,11
-2.0704330266416346,1.4733159937260072,-1.4052878238330409,0.16303480182746563,12
-1.7656498279093522,1.6056580294248293,-1.0996425113894486,0.274154755026913,13
-1.588183749875192,1.6406340882572024,-0.9680304470342155,0.33541213931947933,14
-1.376697427138624,1.5185670417017108,-0.9065766537352825,0.3668772727677517,15
-0.9488565453755842,1.479479836855673,-0.6413446954384872,0.5228270176866808,16
-0.987327360170504,1.4321121216524064,-0.6894204338074461,0.49223926686482933,17
-1.0106354279434306,1.2945857594913384,-0.7806631739410791,0.4369621511017554,18
-1.088239242694944,1.2132447996023092,-0.896965923984722,0.3720531850275729,19
-1.0146579004780998,1.0924708177827065,-0.928773459173457,0.3554369566318386,20
