estimate,std_error,t_stat,p_value,quarter
-1.192055046263022,0.3250391159141608,-3.667420282357125,3.214968615123701e-4,0
-1.5858407384929334,0.44725658606950336,-3.5457068445415687,4.978594513467338e-4,1
-1.2683887176539672,0.5481096237754607,-2.314115028517684,0.021778285571702003,2
-1.90816286776893,0.4560650283939897,-4.183971032570575,4.451189313538513e-5,3
-1.9078961070850766,0.4104575528770176,-4.648217808911232,6.41160345569949e-6,4
-1.9370839906834136,0.5754689452277656,-3.36609647965753,9.300493866871843e-4,5
-1.9907216364276272,0.40736185233283806,-4.886863178344675,2.2386235328452295e-6,6
-1.4642502372228001,0.6423281222102356,-2.279598520744118,0.023791879610615685,7
-1.2669350073313321,0.6318996611841459,-2.004962314676929,0.04644905090453523,8
-1.3746780821689748,0.4600317483198613,-2.9882243718821715,0.003195643044382064,9
-1.011757731651293,0.5891914218020785,-1.717196982530345,0.08766316100008695,10
-0.940960012917471,0.5436543314410475,-1.730805694904146,0.08520968049852942,11
-0.8711915720112381,0.4829824116088002,-1.8037749430860734,0.07295748302682058,12
-0.7401838355718029,0.5017396832813678,-1.4752347885481472,0.1419260308177026,13
-0.6297435122909808,0.5113513926132324,-1.2315279109199493,0.21976847119283474,14
-0.5153982601259023,0.5105665264199111,-1.0094634752886589,0.3141461139690588,15
-0.28353352756655475,0.5647882178760382,-0.5020174263422502,0.6162899312495598,16
-0.17909010081868149,0.5472982581480328,-0.3272257825645068,0.7438927290060869,17
-0.12023781853252978,0.5865014358016635,-0.20500856637832762,0.8378078414212217,18
0.2715381908966818,0.6909119782514075,0.393014160188543,0.6947985403905204,19
0.4501816103501584,0.7065268318019571,0.6371755326007866,0.5248676660163176,20
