estimate,std_error,t_stat,p_value,quarter
0.17668638244795049,0.05763279675581138,3.065726329342752,0.0027669367616585424,0
0.38261716563940124,0.12340948485681946,3.100387025221897,0.0024871618791766515,1
0.48289361101134143,0.17964998690601122,2.6879690854861034,0.008372851635698971,2
0.6579116437130587,0.18661067778245147,3.525584128042471,6.298836619638301e-4,3
0.7090692131087195,0.1571781389783205,4.511245760496764,1.6998725838538483e-5,4
0.8077685975001335,0.1680486774857748,4.806753671527766,5.188906126199941e-6,5
0.8154134009249505,0.15956243684972807,5.1103092746877925,1.4680102669127258e-6,6
0.747022041374141,0.17309655334275764,4.315637873475869,3.6375918780035414e-5,7
0.7325570845517438,0.176033673763074,4.161459957585739,6.529684754971157e-5,8
0.6773806297322895,0.20121856336887073,3.366392336727531,0.0010714645988405495,9
0.6526506221411857,0.27090018115790304,2.409192269091791,0.01778099208951651,10
0.6032484898315087,0.3007317483774646,2.005935499282035,0.04753724227989752,11
0.632758770911979,0.324988169573457,1.947020938462059,0.05433743526555654,12
0.5635381843355431,0.3595738939617309,1.567238873007616,0.1202497848239392,13
0.5198911387734516,0.39097600116162645,1.3297264722868058,0.18669520822629837,14
0.46753360364726315,0.40333359261343404,1.159173478752017,0.24923109040490382,15
0.36749002140515874,0.4090188797132208,0.8984671359493733,0.37118451457905066,16
0.14531475621369502,0.4178227795205336,0.3477904109978131,0.7287670079431754,17
-0.04856445010101088,0.4329356105248909,-0.11217476437692749,0.9109240346774483,18
-0.11680487423962677,0.48211860756795627,-0.24227414666454813,0.8091012180480546,19
-0.09281859951261306,0.48290403391285347,-0.1922092030595119,0.8480019660806939,20
