"","size","persistence","consumption","size_dmnd","persistence_dmnd","year_quarter"
"1",0.521759090779833,0.314223084270685,15076,-0.423273970431514,-0.264030587858151,1968 Q1
"2",1.06154101510639,0.618210656291721,15271,0.116507953895047,0.0399569841628848,1968 Q2
"3",0.763240477978558,0.465423756285398,15515,-0.181792583232789,-0.112829915843438,1968 Q3
"4",0.89108356531906,0.554394218405375,15543,-0.0539494958922879,-0.0238594537234614,1968 Q4
"5",0.990517077695005,0.597363415863848,15683,0.0454840164836575,0.0191097437350123,1969 Q1
"6",0.564373453226667,0.315754526188678,15748,-0.38065960798468,-0.262499145940158,1969 Q2
"7",0.67801175308489,0.388368305686311,15780,-0.267021308126457,-0.189885366442525,1969 Q3
"8",0.578578240708945,0.319945056941088,15860,-0.366454820502402,-0.258308615187748,1969 Q4
"9",0.578578240708945,0.319945056941088,15919,-0.366454820502402,-0.258308615187748,1970 Q1
"10",0.876878777836782,0.54655795776237,15942,-0.0681542833745659,-0.0316957143664658,1970 Q2
"11",1.00472186517728,0.60207799830939,16027,0.0596888039659355,0.0238243261805536,1970 Q3
"12",0.947902715248171,0.581264077610584,15928,0.00286965403682382,0.0030104054817478,1970 Q4
"13",1.01892665265956,0.606501307658974,16184,0.0738935914482134,0.0282476355301383,1971 Q1
"14",1.26040803985829,0.651858046341681,16286,0.315374978646938,0.0736043742128452,1971 Q2
"15",1.11836016503551,0.630789778690832,16365,0.173327103824159,0.0525361065619955,1971 Q3
"16",1.07574580258867,0.621650496457252,16585,0.130712741377325,0.0433968243284162,1971 Q4
"17",1.11836016503551,0.630789778690832,16764,0.173327103824159,0.0525361065619955,1972 Q1
"18",1.30302240230512,0.656214416923775,17043,0.357989341093772,0.0779607447949388,1972 Q2
"19",1.58711815195068,0.673328952433289,17261,0.642085090739331,0.0950752803044526,1972 Q3
"20",1.41666070216334,0.66503031615063,17619,0.471627640951996,0.0867766440217944,1972 Q4
"21",1.40245591468107,0.664109089801759,17902,0.457422853469718,0.0858554176729232,1973 Q1
"22",1.28881761482284,0.654838411259783,17854,0.343784553611494,0.0765847391309468,1973 Q2
"23",1.38825112719879,0.663142323447806,17873,0.44321806598744,0.0848886513189696,1973 Q3
"24",1.11836016503551,0.630789778690832,17776,0.173327103824159,0.0525361065619955,1973 Q4
"25",1.11836016503551,0.630789778690832,17581,0.173327103824159,0.0525361065619955,1974 Q1
"26",0.990517077695005,0.597363415863848,17606,0.0454840164836575,0.0191097437350123,1974 Q2
"27",0.933697927765893,0.575171989018003,17637,-0.0113351334454541,-0.00308168311083279,1974 Q3
"28",0.947902715248171,0.581264077610584,17335,0.00286965403682382,0.0030104054817478,1974 Q4
"29",0.933697927765893,0.575171989018003,17445,-0.0113351334454541,-0.00308168311083279,1975 Q1
"30",1.30302240230512,0.656214416923775,17689,0.357989341093772,0.0779607447949388,1975 Q2
"31",1.13256495251778,0.633486143300859,17888,0.187531891306437,0.0552324711720232,1975 Q3
"32",1.26040803985829,0.651858046341681,18033,0.315374978646938,0.0736043742128452,1975 Q4
"33",1.23199846489373,0.648538353913737,18354,0.286965403682382,0.0702846817849008,1976 Q1
"34",1.77178038922029,0.678627053056736,18484,0.826747328008944,0.100373380927899,1976 Q2
"35",1.7007564518089,0.676904852938334,18631,0.755723390597554,0.0986511808094983,1976 Q3
"36",1.7007564518089,0.676904852938334,18822,0.755723390597554,0.0986511808094983,1976 Q4
"37",1.7007564518089,0.676904852938334,19000,0.755723390597554,0.0986511808094983,1977 Q1
"38",1.41666070216334,0.66503031615063,19057,0.471627640951996,0.0867766440217944,1977 Q2
"39",1.41666070216334,0.66503031615063,19183,0.471627640951996,0.0867766440217944,1977 Q3
"40",1.64393730187979,0.67526225640039,19417,0.698904240668443,0.0970085842715541,1977 Q4
"41",1.45927506461018,0.667545888629955,19480,0.514242003398829,0.0892922165011186,1978 Q1
"42",1.45927506461018,0.667545888629955,19846,0.514242003398829,0.0892922165011186,1978 Q2
"43",1.37404633971651,0.662127232702449,19871,0.429013278505162,0.0838735605736127,1978 Q3
"44",1.38825112719879,0.663142323447806,19973,0.44321806598744,0.0848886513189696,1978 Q4
"45",1.30302240230512,0.656214416923775,20026,0.357989341093772,0.0779607447949388,1979 Q1
"46",1.37404633971651,0.662127232702449,19961,0.429013278505162,0.0838735605736127,1979 Q2
"47",1.20358888992917,0.644831667069222,20094,0.258555828717827,0.0665779949403863,1979 Q3
"48",1.40245591468107,0.664109089801759,20082,0.457422853469718,0.0858554176729232,1979 Q4
"49",1.40245591468107,0.664109089801759,19997,0.457422853469718,0.0858554176729232,1980 Q1
"50",1.26040803985829,0.651858046341681,19492,0.315374978646938,0.0736043742128452,1980 Q2
"51",1.35984155223423,0.661060831952888,19647,0.414808491022884,0.0828071598240524,1980 Q3
"52",1.45927506461018,0.667545888629955,19858,0.514242003398829,0.0892922165011186,1980 Q4
"53",1.45927506461018,0.667545888629955,19884,0.514242003398829,0.0892922165011186,1981 Q1
"54",1.33143197726968,0.658761052265355,19841,0.386398916058328,0.0805073801365186,1981 Q2
"55",1.28881761482284,0.654838411259783,19878,0.343784553611494,0.0765847391309468,1981 Q3
"56",1.41666070216334,0.66503031615063,19691,0.471627640951996,0.0867766440217944,1981 Q4
"57",1.41666070216334,0.66503031615063,19794,0.471627640951996,0.0867766440217944,1982 Q1
"58",1.45927506461018,0.667545888629955,19810,0.514242003398829,0.0892922165011186,1982 Q2
"59",1.40245591468107,0.664109089801759,19892,0.457422853469718,0.0858554176729232,1982 Q3
"60",1.28881761482284,0.654838411259783,20191,0.343784553611494,0.0765847391309468,1982 Q4
"61",1.28881761482284,0.654838411259783,20349,0.343784553611494,0.0765847391309468,1983 Q1
"62",0.763240477978558,0.465423756285398,20721,-0.181792583232789,-0.112829915843438,1983 Q2
"63",0.763240477978558,0.465423756285398,21041,-0.181792583232789,-0.112829915843438,1983 Q3
"64",0.763240477978558,0.465423756285398,21326,-0.181792583232789,-0.112829915843438,1983 Q4
"65",0.763240477978558,0.465423756285398,21462,-0.181792583232789,-0.112829915843438,1984 Q1
"66",1.17517931496462,0.640682628886154,21718,0.230146253753271,0.0624289567573182,1984 Q2
"67",1.28881761482284,0.654838411259783,21826,0.343784553611494,0.0765847391309468,1984 Q3
"68",1.28881761482284,0.654838411259783,22055,0.343784553611494,0.0765847391309468,1984 Q4
"69",1.06154101510639,0.618210656291721,22389,0.116507953895047,0.0399569841628848,1985 Q1
"70",1.10415537755323,0.627926589336267,22546,0.159122316341881,0.0496729172074313,1985 Q2
"71",1.00472186517728,0.60207799830939,22916,0.0596888039659355,0.0238243261805536,1985 Q3
"72",1.00472186517728,0.60207799830939,22908,0.0596888039659355,0.0238243261805536,1985 Q4
"73",0.947902715248171,0.581264077610584,23063,0.00286965403682382,0.0030104054817478,1986 Q1
"74",0.947902715248171,0.581264077610584,23265,0.00286965403682382,0.0030104054817478,1986 Q2
"75",0.947902715248171,0.581264077610584,23618,0.00286965403682382,0.0030104054817478,1986 Q3
"76",0.933697927765893,0.575171989018003,23706,-0.0113351334454541,-0.00308168311083279,1986 Q4
"77",1.14676974000006,0.636026912560798,23682,0.201736678788715,0.0577732404319617,1987 Q1
"78",0.663806965602613,0.375805545436873,23954,-0.281226095608735,-0.202448126691964,1987 Q2
"79",0.67801175308489,0.388368305686311,24168,-0.267021308126457,-0.189885366442525,1987 Q3
"80",0.550168665744389,0.313391525363692,24159,-0.394864395466958,-0.264862146765144,1987 Q4
"81",0.550168665744389,0.313391525363692,24537,-0.394864395466958,-0.264862146765144,1988 Q1
"82",0.876878777836782,0.54655795776237,24667,-0.0681542833745659,-0.0316957143664658,1988 Q2
"83",1.00472186517728,0.60207799830939,24821,0.0596888039659355,0.0238243261805536,1988 Q3
"84",1.23199846489373,0.648538353913737,25041,0.286965403682382,0.0702846817849008,1988 Q4
